Starting training with parameters:
Using CUDA device 0 - NVIDIA L20
Using save prefix "saved_models/model"
Training with SAM: lr=1e-05
	num_epochs: 30
	batch_size: 16
	module 1 weight: 1.0
	module 2 weight: 1.0
******************************** FOLD 0 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0480409, MSE=0.0480409, MAE=0.168816
[3/30] training 51.8%: Loss=0.0343061, MSE=0.0343061, MAE=0.145362
[3/30] training 57.3%: Loss=0.0339369, MSE=0.0339369, MAE=0.144375
[3/30] training 62.7%: Loss=0.0340276, MSE=0.0340276, MAE=0.144496
[3/30] training 68.2%: Loss=0.0339073, MSE=0.0339073, MAE=0.144454
[3/30] training 74.5%: Loss=0.0339119, MSE=0.0339119, MAE=0.144576
[3/30] training 80.0%: Loss=0.0336781, MSE=0.0336781, MAE=0.144347
[3/30] training 85.5%: Loss=0.0330991, MSE=0.0330991, MAE=0.14283
[3/30] training 90.9%: Loss=0.0334245, MSE=0.0334245, MAE=0.143664
[3/30] training 97.3%: Loss=0.0336414, MSE=0.0336414, MAE=0.144102
-----------------------------------Finished Epoch 3/30: Loss=109.375, RMSE=1.39712, MAE=1.81146, r_2=-3.55025, p=0.471979
[4/30] training 6.4%: Loss=0.0276697, MSE=0.0276697, MAE=0.134118
[4/30] training 11.8%: Loss=0.0321939, MSE=0.0321939, MAE=0.141082
[4/30] training 17.3%: Loss=0.032292, MSE=0.032292, MAE=0.141593
[4/30] training 22.7%: Loss=0.0319584, MSE=0.0319584, MAE=0.140236
[4/30] training 29.1%: Loss=0.0309847, MSE=0.0309847, MAE=0.137168
[4/30] training 34.5%: Loss=0.0313588, MSE=0.0313588, MAE=0.138326
[4/30] training 40.0%: Loss=0.0302247, MSE=0.0302247, MAE=0.136664
[4/30] training 45.5%: Loss=0.0309871, MSE=0.0309871, MAE=0.138727
[4/30] training 51.8%: Loss=0.0314565, MSE=0.0314565, MAE=0.140079
[4/30] training 57.3%: Loss=0.0308292, MSE=0.0308292, MAE=0.138619
[4/30] training 62.7%: Loss=0.0310182, MSE=0.0310182, MAE=0.139006
[4/30] training 68.2%: Loss=0.0306586, MSE=0.0306586, MAE=0.138201
[4/30] training 74.5%: Loss=0.030216, MSE=0.030216, MAE=0.13676
[4/30] training 80.0%: Loss=0.0303594, MSE=0.0303594, MAE=0.136919
[4/30] training 85.5%: Loss=0.0305491, MSE=0.0305491, MAE=0.136812
[4/30] training 90.9%: Loss=0.0310443, MSE=0.0310443, MAE=0.137891
[4/30] training 97.3%: Loss=0.031759, MSE=0.031759, MAE=0.139356
-----------------------------------Finished Epoch 4/30: Loss=109.296, RMSE=1.33517, MAE=1.76111, r_2=-2.56416, p=0.520734
[5/30] training 6.4%: Loss=0.026701, MSE=0.026701, MAE=0.121026
[5/30] training 11.8%: Loss=0.0279089, MSE=0.0279089, MAE=0.126047
[5/30] training 17.3%: Loss=0.0292013, MSE=0.0292013, MAE=0.128219
[5/30] training 22.7%: Loss=0.0299717, MSE=0.0299717, MAE=0.131313
[5/30] training 29.1%: Loss=0.030157, MSE=0.030157, MAE=0.131322
[5/30] training 34.5%: Loss=0.0305716, MSE=0.0305716, MAE=0.134051
[5/30] training 40.0%: Loss=0.0305943, MSE=0.0305943, MAE=0.133041
[5/30] training 45.5%: Loss=0.0303, MSE=0.0303, MAE=0.133237
[5/30] training 51.8%: Loss=0.0298198, MSE=0.0298198, MAE=0.133306
[5/30] training 57.3%: Loss=0.0301922, MSE=0.0301922, MAE=0.133289
[5/30] training 62.7%: Loss=0.0307403, MSE=0.0307403, MAE=0.134917
[5/30] training 68.2%: Loss=0.0307772, MSE=0.0307772, MAE=0.134996
[5/30] training 74.5%: Loss=0.0308346, MSE=0.0308346, MAE=0.135358
[5/30] training 80.0%: Loss=0.0308312, MSE=0.0308312, MAE=0.135603
[5/30] training 85.5%: Loss=0.0307678, MSE=0.0307678, MAE=0.135213
[5/30] training 90.9%: Loss=0.0304096, MSE=0.0304096, MAE=0.134703
[5/30] training 97.3%: Loss=0.0302021, MSE=0.0302021, MAE=0.134127
-----------------------------------Finished Epoch 5/30: Loss=108.903, RMSE=1.34454, MAE=1.78774, r_2=-1.87998, p=0.534439
[6/30] training 6.4%: Loss=0.0339335, MSE=0.0339335, MAE=0.133476
[6/30] training 11.8%: Loss=0.0364025, MSE=0.0364025, MAE=0.144127
[6/30] training 17.3%: Loss=0.0337555, MSE=0.0337555, MAE=0.141965
[6/30] training 22.7%: Loss=0.0328117, MSE=0.0328117, MAE=0.141134
[6/30] training 29.1%: Loss=0.0309465, MSE=0.0309465, MAE=0.137445
[6/30] training 34.5%: Loss=0.0294005, MSE=0.0294005, MAE=0.133133
[6/30] training 40.0%: Loss=0.0295691, MSE=0.0295691, MAE=0.133567
[6/30] training 45.5%: Loss=0.029015, MSE=0.029015, MAE=0.13229
[6/30] training 51.8%: Loss=0.0300697, MSE=0.0300697, MAE=0.1341
[6/30] training 57.3%: Loss=0.0295921, MSE=0.0295921, MAE=0.132708
[6/30] training 62.7%: Loss=0.0292783, MSE=0.0292783, MAE=0.131818
[6/30] training 68.2%: Loss=0.029921, MSE=0.029921, MAE=0.133162
[6/30] training 74.5%: Loss=0.0302393, MSE=0.0302393, MAE=0.133875
[6/30] training 80.0%: Loss=0.0298168, MSE=0.0298168, MAE=0.132894
[6/30] training 85.5%: Loss=0.0294154, MSE=0.0294154, MAE=0.132177
[6/30] training 90.9%: Loss=0.0289111, MSE=0.0289111, MAE=0.131108
[6/30] training 97.3%: Loss=0.0294554, MSE=0.0294554, MAE=0.131612
-----------------------------------Finished Epoch 6/30: Loss=109.046, RMSE=1.3117, MAE=1.75487, r_2=-1.83952, p=0.543996
[7/30] training 6.4%: Loss=0.0286993, MSE=0.0286993, MAE=0.128596
[7/30] training 11.8%: Loss=0.0290774, MSE=0.0290774, MAE=0.132568
[7/30] training 17.3%: Loss=0.0263541, MSE=0.0263541, MAE=0.127802
[7/30] training 22.7%: Loss=0.0273454, MSE=0.0273454, MAE=0.1307
[7/30] training 29.1%: Loss=0.03061, MSE=0.03061, MAE=0.13608
[7/30] training 34.5%: Loss=0.0301503, MSE=0.0301503, MAE=0.134514
[7/30] training 40.0%: Loss=0.0297475, MSE=0.0297475, MAE=0.132491
[7/30] training 45.5%: Loss=0.0300177, MSE=0.0300177, MAE=0.132696
[7/30] training 51.8%: Loss=0.0293127, MSE=0.0293127, MAE=0.130804
[7/30] training 57.3%: Loss=0.0291714, MSE=0.0291714, MAE=0.131191
[7/30] training 62.7%: Loss=0.0298274, MSE=0.0298274, MAE=0.132243
[7/30] training 68.2%: Loss=0.0298575, MSE=0.0298575, MAE=0.131567
[7/30] training 74.5%: Loss=0.0292678, MSE=0.0292678, MAE=0.129943
[7/30] training 80.0%: Loss=0.0289213, MSE=0.0289213, MAE=0.12933
[7/30] training 85.5%: Loss=0.0288925, MSE=0.0288925, MAE=0.129491
[7/30] training 90.9%: Loss=0.029227, MSE=0.029227, MAE=0.130633
[7/30] training 97.3%: Loss=0.0288478, MSE=0.0288478, MAE=0.129753
-----------------------------------Finished Epoch 7/30: Loss=109.439, RMSE=1.28735, MAE=1.70074, r_2=-1.59471, p=0.554677
[8/30] training 6.4%: Loss=0.026543, MSE=0.026543, MAE=0.122939
[8/30] training 11.8%: Loss=0.0270418, MSE=0.0270418, MAE=0.127479
[8/30] training 17.3%: Loss=0.0273484, MSE=0.0273484, MAE=0.127539
[8/30] training 22.7%: Loss=0.0284754, MSE=0.0284754, MAE=0.129756
[8/30] training 29.1%: Loss=0.0269491, MSE=0.0269491, MAE=0.127285
[8/30] training 34.5%: Loss=0.0266888, MSE=0.0266888, MAE=0.127054
[8/30] training 40.0%: Loss=0.0268956, MSE=0.0268956, MAE=0.127413
[8/30] training 45.5%: Loss=0.0269984, MSE=0.0269984, MAE=0.127799
[8/30] training 51.8%: Loss=0.0274825, MSE=0.0274825, MAE=0.128635
[8/30] training 57.3%: Loss=0.0278642, MSE=0.0278642, MAE=0.129168
[8/30] training 62.7%: Loss=0.0280581, MSE=0.0280581, MAE=0.129462
[8/30] training 68.2%: Loss=0.0287792, MSE=0.0287792, MAE=0.130565
[8/30] training 74.5%: Loss=0.0279949, MSE=0.0279949, MAE=0.128459
[8/30] training 80.0%: Loss=0.0281406, MSE=0.0281406, MAE=0.128062
[8/30] training 85.5%: Loss=0.0283201, MSE=0.0283201, MAE=0.128063
[8/30] training 90.9%: Loss=0.0284952, MSE=0.0284952, MAE=0.128122
[8/30] training 97.3%: Loss=0.0282464, MSE=0.0282464, MAE=0.127905
-----------------------------------Finished Epoch 8/30: Loss=109.591, RMSE=1.25249, MAE=1.67919, r_2=-1.19252, p=0.563604
[9/30] training 6.4%: Loss=0.0311181, MSE=0.0311181, MAE=0.127814
[9/30] training 11.8%: Loss=0.031963, MSE=0.031963, MAE=0.135208
[9/30] training 17.3%: Loss=0.0301014, MSE=0.0301014, MAE=0.132012
[9/30] training 22.7%: Loss=0.0311741, MSE=0.0311741, MAE=0.134368
[9/30] training 29.1%: Loss=0.0294172, MSE=0.0294172, MAE=0.130837
[9/30] training 34.5%: Loss=0.0301477, MSE=0.0301477, MAE=0.132355
[9/30] training 40.0%: Loss=0.0294804, MSE=0.0294804, MAE=0.131237
[9/30] training 45.5%: Loss=0.0293475, MSE=0.0293475, MAE=0.131817
[9/30] training 51.8%: Loss=0.0283982, MSE=0.0283982, MAE=0.129606
[9/30] training 57.3%: Loss=0.0281718, MSE=0.0281718, MAE=0.129009
[9/30] training 62.7%: Loss=0.0283015, MSE=0.0283015, MAE=0.129289
[9/30] training 68.2%: Loss=0.0282838, MSE=0.0282838, MAE=0.129502
[9/30] training 74.5%: Loss=0.0276187, MSE=0.0276187, MAE=0.127586
[9/30] training 80.0%: Loss=0.0278081, MSE=0.0278081, MAE=0.127264
[9/30] training 85.5%: Loss=0.027638, MSE=0.027638, MAE=0.126939
[9/30] training 90.9%: Loss=0.0272945, MSE=0.0272945, MAE=0.126233
[9/30] training 97.3%: Loss=0.0274459, MSE=0.0274459, MAE=0.126508
-----------------------------------Finished Epoch 9/30: Loss=108.969, RMSE=1.30431, MAE=1.7271, r_2=-1.12563, p=0.569017
[10/30] training 6.4%: Loss=0.0273592, MSE=0.0273592, MAE=0.126177
[10/30] training 11.8%: Loss=0.0318319, MSE=0.0318319, MAE=0.133684
[10/30] training 17.3%: Loss=0.0324302, MSE=0.0324302, MAE=0.135991
[10/30] training 22.7%: Loss=0.0308619, MSE=0.0308619, MAE=0.13269
[10/30] training 29.1%: Loss=0.0299399, MSE=0.0299399, MAE=0.131392
[10/30] training 34.5%: Loss=0.0289938, MSE=0.0289938, MAE=0.130175
[10/30] training 40.0%: Loss=0.0291611, MSE=0.0291611, MAE=0.130595
[10/30] training 45.5%: Loss=0.0285492, MSE=0.0285492, MAE=0.128688
[10/30] training 51.8%: Loss=0.0281593, MSE=0.0281593, MAE=0.127874
[10/30] training 57.3%: Loss=0.0278079, MSE=0.0278079, MAE=0.126677
[10/30] training 62.7%: Loss=0.0273741, MSE=0.0273741, MAE=0.125476
[10/30] training 68.2%: Loss=0.0269467, MSE=0.0269467, MAE=0.124455
[10/30] training 74.5%: Loss=0.0267274, MSE=0.0267274, MAE=0.124095
[10/30] training 80.0%: Loss=0.0268015, MSE=0.0268015, MAE=0.124059
[10/30] training 85.5%: Loss=0.0270855, MSE=0.0270855, MAE=0.12529
[10/30] training 90.9%: Loss=0.0275183, MSE=0.0275183, MAE=0.126256
[10/30] training 97.3%: Loss=0.0274712, MSE=0.0274712, MAE=0.12599
-----------------------------------Finished Epoch 10/30: Loss=108.825, RMSE=1.30489, MAE=1.74628, r_2=-1.14929, p=0.571801
[11/30] training 6.4%: Loss=0.031149, MSE=0.031149, MAE=0.135866
[11/30] training 11.8%: Loss=0.0305339, MSE=0.0305339, MAE=0.135026
[11/30] training 17.3%: Loss=0.0277971, MSE=0.0277971, MAE=0.1289
[11/30] training 22.7%: Loss=0.0300744, MSE=0.0300744, MAE=0.131453
[11/30] training 29.1%: Loss=0.0285404, MSE=0.0285404, MAE=0.128111
[11/30] training 34.5%: Loss=0.0278557, MSE=0.0278557, MAE=0.126309
[11/30] training 40.0%: Loss=0.0280716, MSE=0.0280716, MAE=0.125386
[11/30] training 45.5%: Loss=0.0284511, MSE=0.0284511, MAE=0.127307
[11/30] training 51.8%: Loss=0.0284649, MSE=0.0284649, MAE=0.127935
[11/30] training 57.3%: Loss=0.0282688, MSE=0.0282688, MAE=0.127832
[11/30] training 62.7%: Loss=0.0272274, MSE=0.0272274, MAE=0.125479
[11/30] training 68.2%: Loss=0.0271721, MSE=0.0271721, MAE=0.125873
[11/30] training 74.5%: Loss=0.0272658, MSE=0.0272658, MAE=0.126117
[11/30] training 80.0%: Loss=0.0270091, MSE=0.0270091, MAE=0.125833
[11/30] training 85.5%: Loss=0.0274071, MSE=0.0274071, MAE=0.126301
[11/30] training 90.9%: Loss=0.0269558, MSE=0.0269558, MAE=0.125195
[11/30] training 97.3%: Loss=0.0278405, MSE=0.0278405, MAE=0.126727
-----------------------------------Finished Epoch 11/30: Loss=109.298, RMSE=1.24417, MAE=1.6694, r_2=-0.990039, p=0.581996
[12/30] training 6.4%: Loss=0.023153, MSE=0.023153, MAE=0.113939
[12/30] training 11.8%: Loss=0.02518, MSE=0.02518, MAE=0.122974
[12/30] training 17.3%: Loss=0.0238084, MSE=0.0238084, MAE=0.120363
[12/30] training 22.7%: Loss=0.024767, MSE=0.024767, MAE=0.123603
[12/30] training 29.1%: Loss=0.0250773, MSE=0.0250773, MAE=0.123316
[12/30] training 34.5%: Loss=0.026483, MSE=0.026483, MAE=0.126861
[12/30] training 40.0%: Loss=0.027127, MSE=0.027127, MAE=0.127575
[12/30] training 45.5%: Loss=0.0259524, MSE=0.0259524, MAE=0.12408
[12/30] training 51.8%: Loss=0.0264593, MSE=0.0264593, MAE=0.125711
[12/30] training 57.3%: Loss=0.0264383, MSE=0.0264383, MAE=0.125072
[12/30] training 62.7%: Loss=0.0267185, MSE=0.0267185, MAE=0.125415
[12/30] training 68.2%: Loss=0.0270066, MSE=0.0270066, MAE=0.12665
[12/30] training 74.5%: Loss=0.0271161, MSE=0.0271161, MAE=0.127024
[12/30] training 80.0%: Loss=0.0270424, MSE=0.0270424, MAE=0.126912
[12/30] training 85.5%: Loss=0.0268826, MSE=0.0268826, MAE=0.126202
[12/30] training 90.9%: Loss=0.027153, MSE=0.027153, MAE=0.12695
[12/30] training 97.3%: Loss=0.0273178, MSE=0.0273178, MAE=0.127069
-----------------------------------Finished Epoch 12/30: Loss=109.578, RMSE=1.20988, MAE=1.62452, r_2=-0.898137, p=0.601365
[13/30] training 6.4%: Loss=0.0259156, MSE=0.0259156, MAE=0.116135
[13/30] training 11.8%: Loss=0.0259978, MSE=0.0259978, MAE=0.119385
[13/30] training 17.3%: Loss=0.0276999, MSE=0.0276999, MAE=0.12446
[13/30] training 22.7%: Loss=0.0276054, MSE=0.0276054, MAE=0.124464
[13/30] training 29.1%: Loss=0.0269055, MSE=0.0269055, MAE=0.121707
[13/30] training 34.5%: Loss=0.0270442, MSE=0.0270442, MAE=0.123305
[13/30] training 40.0%: Loss=0.0261468, MSE=0.0261468, MAE=0.122377
[13/30] training 45.5%: Loss=0.0247028, MSE=0.0247028, MAE=0.118587
[13/30] training 51.8%: Loss=0.0247789, MSE=0.0247789, MAE=0.119887
[13/30] training 57.3%: Loss=0.0254912, MSE=0.0254912, MAE=0.121563
[13/30] training 62.7%: Loss=0.0253541, MSE=0.0253541, MAE=0.121347
[13/30] training 68.2%: Loss=0.0262004, MSE=0.0262004, MAE=0.123122
[13/30] training 74.5%: Loss=0.0262561, MSE=0.0262561, MAE=0.123509
[13/30] training 80.0%: Loss=0.0267104, MSE=0.0267104, MAE=0.124615
[13/30] training 85.5%: Loss=0.0267112, MSE=0.0267112, MAE=0.124508
[13/30] training 90.9%: Loss=0.0266784, MSE=0.0266784, MAE=0.124373
[13/30] training 97.3%: Loss=0.0269011, MSE=0.0269011, MAE=0.124953
-----------------------------------Finished Epoch 13/30: Loss=109.613, RMSE=1.23246, MAE=1.65836, r_2=-0.986544, p=0.577693
[14/30] training 6.4%: Loss=0.0289499, MSE=0.0289499, MAE=0.12933
[14/30] training 11.8%: Loss=0.0283131, MSE=0.0283131, MAE=0.129427
[14/30] training 17.3%: Loss=0.0270088, MSE=0.0270088, MAE=0.126427
[14/30] training 22.7%: Loss=0.0252902, MSE=0.0252902, MAE=0.121443
[14/30] training 29.1%: Loss=0.025408, MSE=0.025408, MAE=0.121603
[14/30] training 34.5%: Loss=0.0265379, MSE=0.0265379, MAE=0.125425
[14/30] training 40.0%: Loss=0.0267858, MSE=0.0267858, MAE=0.125817
[14/30] training 45.5%: Loss=0.026664, MSE=0.026664, MAE=0.125317
[14/30] training 51.8%: Loss=0.0255487, MSE=0.0255487, MAE=0.122398
[14/30] training 57.3%: Loss=0.0263051, MSE=0.0263051, MAE=0.124161
[14/30] training 62.7%: Loss=0.0262926, MSE=0.0262926, MAE=0.124617
[14/30] training 68.2%: Loss=0.0258989, MSE=0.0258989, MAE=0.123853
[14/30] training 74.5%: Loss=0.026167, MSE=0.026167, MAE=0.124459
[14/30] training 80.0%: Loss=0.026403, MSE=0.026403, MAE=0.125449
[14/30] training 85.5%: Loss=0.0260744, MSE=0.0260744, MAE=0.124085
[14/30] training 90.9%: Loss=0.026128, MSE=0.026128, MAE=0.124361
[14/30] training 97.3%: Loss=0.0261232, MSE=0.0261232, MAE=0.124663
-----------------------------------Finished Epoch 14/30: Loss=108.826, RMSE=1.26556, MAE=1.70391, r_2=-0.987689, p=0.599938
[15/30] training 6.4%: Loss=0.0274006, MSE=0.0274006, MAE=0.125538
[15/30] training 11.8%: Loss=0.0286626, MSE=0.0286626, MAE=0.12672
[15/30] training 17.3%: Loss=0.0283732, MSE=0.0283732, MAE=0.12493
[15/30] training 22.7%: Loss=0.0268778, MSE=0.0268778, MAE=0.122981
[15/30] training 29.1%: Loss=0.0267632, MSE=0.0267632, MAE=0.123605
[15/30] training 34.5%: Loss=0.0276189, MSE=0.0276189, MAE=0.12601
[15/30] training 40.0%: Loss=0.0275626, MSE=0.0275626, MAE=0.125795
[15/30] training 45.5%: Loss=0.0274555, MSE=0.0274555, MAE=0.125779
[15/30] training 51.8%: Loss=0.0279693, MSE=0.0279693, MAE=0.127114
[15/30] training 57.3%: Loss=0.0276575, MSE=0.0276575, MAE=0.126502
[15/30] training 62.7%: Loss=0.0274765, MSE=0.0274765, MAE=0.126251
[15/30] training 68.2%: Loss=0.0268544, MSE=0.0268544, MAE=0.124672
[15/30] training 74.5%: Loss=0.027632, MSE=0.027632, MAE=0.126626
[15/30] training 80.0%: Loss=0.0273313, MSE=0.0273313, MAE=0.126067
[15/30] training 85.5%: Loss=0.0272528, MSE=0.0272528, MAE=0.125972
[15/30] training 90.9%: Loss=0.0269938, MSE=0.0269938, MAE=0.125394
[15/30] training 97.3%: Loss=0.0264566, MSE=0.0264566, MAE=0.12394
-----------------------------------Finished Epoch 15/30: Loss=109.132, RMSE=1.19795, MAE=1.63468, r_2=-0.743802, p=0.614962
[16/30] training 6.4%: Loss=0.0236711, MSE=0.0236711, MAE=0.121415
[16/30] training 11.8%: Loss=0.0217627, MSE=0.0217627, MAE=0.11405
[16/30] training 17.3%: Loss=0.0205925, MSE=0.0205925, MAE=0.111791
[16/30] training 22.7%: Loss=0.0233234, MSE=0.0233234, MAE=0.1165
[16/30] training 29.1%: Loss=0.0234002, MSE=0.0234002, MAE=0.117446
[16/30] training 34.5%: Loss=0.0236582, MSE=0.0236582, MAE=0.11897
[16/30] training 40.0%: Loss=0.024007, MSE=0.024007, MAE=0.119457
[16/30] training 45.5%: Loss=0.0237878, MSE=0.0237878, MAE=0.119224
[16/30] training 51.8%: Loss=0.0240573, MSE=0.0240573, MAE=0.119757
[16/30] training 57.3%: Loss=0.0246045, MSE=0.0246045, MAE=0.120834
[16/30] training 62.7%: Loss=0.0247902, MSE=0.0247902, MAE=0.121251
[16/30] training 68.2%: Loss=0.0245728, MSE=0.0245728, MAE=0.120222
[16/30] training 74.5%: Loss=0.0242975, MSE=0.0242975, MAE=0.119941
[16/30] training 80.0%: Loss=0.0247027, MSE=0.0247027, MAE=0.120979
[16/30] training 85.5%: Loss=0.0253305, MSE=0.0253305, MAE=0.121769
[16/30] training 90.9%: Loss=0.0252333, MSE=0.0252333, MAE=0.121655
[16/30] training 97.3%: Loss=0.0254648, MSE=0.0254648, MAE=0.122263
-----------------------------------Finished Epoch 16/30: Loss=109.334, RMSE=1.19816, MAE=1.61854, r_2=-0.60749, p=0.612586
[17/30] training 6.4%: Loss=0.0243472, MSE=0.0243472, MAE=0.125046
[17/30] training 11.8%: Loss=0.0255261, MSE=0.0255261, MAE=0.12519
[17/30] training 17.3%: Loss=0.0270286, MSE=0.0270286, MAE=0.127309
[17/30] training 22.7%: Loss=0.0265095, MSE=0.0265095, MAE=0.124146
[17/30] training 29.1%: Loss=0.0258559, MSE=0.0258559, MAE=0.123135
[17/30] training 34.5%: Loss=0.025327, MSE=0.025327, MAE=0.121224
[17/30] training 40.0%: Loss=0.0258023, MSE=0.0258023, MAE=0.123014
[17/30] training 45.5%: Loss=0.0268857, MSE=0.0268857, MAE=0.125058
[17/30] training 51.8%: Loss=0.0265949, MSE=0.0265949, MAE=0.12475
[17/30] training 57.3%: Loss=0.0260586, MSE=0.0260586, MAE=0.123969
[17/30] training 62.7%: Loss=0.0254744, MSE=0.0254744, MAE=0.122542
[17/30] training 68.2%: Loss=0.0260014, MSE=0.0260014, MAE=0.123562
[17/30] training 74.5%: Loss=0.0256567, MSE=0.0256567, MAE=0.122399
[17/30] training 80.0%: Loss=0.0258604, MSE=0.0258604, MAE=0.122236
[17/30] training 85.5%: Loss=0.0260236, MSE=0.0260236, MAE=0.122889
[17/30] training 90.9%: Loss=0.0257003, MSE=0.0257003, MAE=0.122432
[17/30] training 97.3%: Loss=0.025834, MSE=0.025834, MAE=0.122659
-----------------------------------Finished Epoch 17/30: Loss=109.048, RMSE=1.19984, MAE=1.64267, r_2=-0.778487, p=0.616656
[18/30] training 6.4%: Loss=0.0274684, MSE=0.0274684, MAE=0.129216
[18/30] training 11.8%: Loss=0.0302417, MSE=0.0302416, MAE=0.134266
[18/30] training 17.3%: Loss=0.0279735, MSE=0.0279735, MAE=0.129072
[18/30] training 22.7%: Loss=0.0277674, MSE=0.0277674, MAE=0.12928
[18/30] training 29.1%: Loss=0.0286801, MSE=0.0286801, MAE=0.128663
[18/30] training 34.5%: Loss=0.0270049, MSE=0.0270049, MAE=0.124229
[18/30] training 40.0%: Loss=0.0269105, MSE=0.0269105, MAE=0.124747
[18/30] training 45.5%: Loss=0.0272178, MSE=0.0272178, MAE=0.124553
[18/30] training 51.8%: Loss=0.0265966, MSE=0.0265966, MAE=0.123516
[18/30] training 57.3%: Loss=0.0271988, MSE=0.0271988, MAE=0.124758
[18/30] training 62.7%: Loss=0.0265052, MSE=0.0265052, MAE=0.123172
[18/30] training 68.2%: Loss=0.0267858, MSE=0.0267858, MAE=0.12387
[18/30] training 74.5%: Loss=0.0265386, MSE=0.0265386, MAE=0.12348
[18/30] training 80.0%: Loss=0.0264733, MSE=0.0264733, MAE=0.123484
[18/30] training 85.5%: Loss=0.0262615, MSE=0.0262615, MAE=0.122823
[18/30] training 90.9%: Loss=0.0261559, MSE=0.0261559, MAE=0.122085
[18/30] training 97.3%: Loss=0.0260466, MSE=0.0260466, MAE=0.122207
-----------------------------------Finished Epoch 18/30: Loss=109.383, RMSE=1.18562, MAE=1.59896, r_2=-0.526947, p=0.622431
[19/30] training 6.4%: Loss=0.0207706, MSE=0.0207706, MAE=0.110441
